יוצא מידי
בישראל 0.00717
בירושלים 0.00607

סוכנות הידיעות
הצרפתית 0.07662
היהודית 0.05704
הגרמנית 0.04331
הסובייטית 0.03648
המזרח 0.02674

שכיב מרע
שאמר 0.03585
שכתב 0.02299
ככתובים 0.01524
במקצת 0.01078
ככתובין 0.00936

הם אנשים
טובים 0.03172
בעלי 0.02526
פשוטים 0.01937
צעירים 0.01162
ישרים 0.01123

דברים שונים
ומשונים 0.02039
לגמרי 0.01709
לחלוטין 0.01487
הם 0.01275
בתכלית 0.00825

ולכאורה קשה
הלא 0.02892
להבין 0.02066
מאי 0.01598
איך 0.01402
הרי 0.01053

אפשר להביא
ראיה 0.06923
דוגמאות 0.03644
לידי 0.02661
עוד 0.02109
בחשבון 0.01993

אפשר להבין
מדוע 0.0256
גם 0.01976
רק 0.01048
כיצד 0.0104
איך 0.0082

יהודה הלוי
בספר 0.00633
בר 0.00366
לארץ 0.00331
כתב 0.00302
בן 0.00269

מעמיד פנים
כאילו 0.1008
שהוא 0.04745
שאינו 0.01689
שאני 0.01136
בגל 0.01049

בזמן שישראל
עושין 0.24168
עושים 0.11173
שרויין 0.03403
מסתכלין 0.03282
שרויים 0.02279

יום חג
השבועות 0.07124
הסוכות 0.04422
המצות 0.03712
ומועד 0.01814
פלוני 0.01081

להביא ראיות
לכך 0.02362
נוספות 0.01867
ברורות 0.01839
לדבריו 0.01738
רבות 0.0163

עוד בבית
הספר 0.04078
הכנסת 0.02744
המדרש 0.0251
אביו 0.01752
החולים 0.01538

ואל תהי
רשע 0.20693
ראש 0.11628
מפליג 0.08532
נוח 0.0469
סכל 0.0304

ברחבי העולם
היהודי 0.04039
כולו 0.0286
הערבי 0.01637
המוסלמי 0.00773
המערבי 0.00582

בימי בית
ראשון 0.19142
המקדש 0.01245
חשמונאי 0.00598
שמאי 0.00452
שגי 0.00413

הדין אינו
יכול 0.07113
חייב 0.05323
אלא 0.04801
צריך 0.03395
נאמן 0.01983

יוכל האדם
למצוא 0.03511
להשיג 0.02739
להגיע 0.02233
לבוא 0.01888
לעשות 0.01738

תודה מיוחדת
אני 0.06295
נתונה 0.03853
למר 0.02433
שלוחה 0.01764
לפרופ 0.01697

קיום המצוות
המעשיות 0.03137
התלויות 0.02554
שבין 0.00694
בפועל 0.00557
מתוך 0.00508

שלא שמעו
מפי 0.02333
מעולם 0.01873
בקול 0.01696
בקולו 0.01276
כלל 0.01123

מספר הטלפון
שלו 0.09904
שלה 0.07865
שלי 0.0742
שלך 0.03715
הנייד 0.01602

מבחינה דתית
ומוסרית 0.01081
ולאומית 0.0093
והן 0.00849
וחברתית 0.00791
— 0.00631

ויהי בימי
שפוט 0.19173
אחשורוש 0.09041
אמרפל 0.03969
אחז 0.02555
שפט 0.02474

אני מבינה
אותך 0.02801
שאתה 0.01437
מדוע 0.0121
שזה 0.01104
שלא 0.00829

במאה השנייה
לספירה 0.15719
לפני 0.07713
לפנה 0.05557
לפסה 0.03965
והשלישית 0.03176

בן הרב
רבי 0.04989
הגדול 0.0357
הגאון 0.03493
המחבר 0.01803
הקדוש 0.01688

רק בשל
כך 0.04629
העובדה 0.03075
היותו 0.02114
היותם 0.01653
היותה 0.01072

ויהי ביום
השלישי 0.22467
השמיני 0.14552
כלות 0.08666
השביעי 0.06983
הששי 0.02977

וכמו שהוא
עצמו 0.01718
גם 0.0158
אומר 0.0156
יתברך 0.01442
מבואר 0.01335

רק בעת
ההיא 0.03082
האחרונה 0.02556
צרה 0.02128
החדשה 0.02036
הצורך 0.01559

שתי בנות
הב 0.03744
ובן 0.03632
ושני 0.01145
לוט 0.01091
קטנות 0.00695

יושב ודורש
סתם 0.03255
בהגדות 0.02338
והצבור 0.01925
בבית 0.0192
והציבור 0.01513

יעקב אבינו
ע 0.09198
ואמר 0.00576
למצרים 0.00481
אמר 0.00479
עיה 0.00455

רבות לאחר
מכן 0.31772
מותו 0.03165
פטירתו 0.01709
המלחמה 0.01481
מעשה 0.01424

רק בית
דין 0.03574
ספר 0.02928
הכנסת 0.02726
כנסת 0.02136
המקדש 0.01839

מצא לנכון
להדגיש 0.02459
לציין 0.02378
להעיר 0.02204
להזכיר 0.01619
להוסיף 0.01532

רק במה
שנוגע 0.08126
שהוא 0.06721
שיש 0.03093
שאמר 0.01489
שלא 0.01458

בכך כדי
לשנות 0.03552
להסביר 0.03215
להעיד 0.03041
למנוע 0.01992
ללמד 0.01848

סימן יפה
לבנים 0.04838
במשנתו 0.03785
למת 0.03228
לחולה 0.01749
באדם 0.01553

מלאכי חבלה
הם 0.00936
הממונים 0.00926
יוצאות 0.00889
שהם 0.00888
יוצאין 0.00858

בערב יום
הכיפורים 0.20371
הכפורים 0.12381
טוב 0.07429
כיפור 0.06688
כפור 0.02463

רק אתה
יכול 0.03837
ואני 0.02083
לבדך 0.02049
תוכל 0.0131
היית 0.00792

בכמה וכמה
מקומות 0.08372
ארצות 0.02296
עניינים 0.01831
דברים 0.01785
תחומים 0.0172

אנשים ונשים
וטף 0.11259
וילדים 0.00921
יחד 0.00897
מדמשק 0.00413
בחורים 0.00398

בן שמעון
בן 0.04078
הצדיק 0.01761
בעיר 0.01268
הדרים 0.00782
פרוע 0.00584

ראיה ברורה
לכך 0.02048
לזה 0.01933
שאין 0.01249
לדברי 0.01078
לדבר 0.0078

בפני ועדת
החקירה 0.11718
החוץ 0.05138
פיל 0.03395
חקירה 0.02536
הכנסת 0.01642

וכיוצא בהן
— 0.00663
הרי 0.00515
אלא 0.00463
מותר 0.00463
מדברים 0.00425

ראש ישיבה
בעיר 0.0081
בישיבת 0.00778
ואב 0.0065
בירושלים 0.0063
בסורא 0.00621

הספר העברי
הראשון 0.04364
בארץ 0.02295
החדש 0.01496
בגולה 0.00504
— 0.00488

ראש ישיבת
גאון 0.05771
פומבדיתא 0.04618
סורא 0.04223
חברון 0.03014
מיר 0.02827

בית שאן
כולה 0.00668
ואת 0.00616
בית 0.006
ובנותיה 0.0053
ועמק 0.00494

אלא בימי
שלמה 0.03447
מלכות 0.03281
ילדותו 0.03084
זקנותו 0.02611
שאול 0.02415

בן דוד
בן 0.02004
מלך 0.01307
המלך 0.01154
ששון 0.00727
שהוא 0.00468

אלא ביום
טוב 0.04432
ראשון 0.03745
הראשון 0.02329
ההוא 0.01798
פלוני 0.01584

מפי הגבורה
שמענום 0.02274
שמענו 0.01632
אלא 0.00653
שמעום 0.0051
לכוף 0.00502

שהוא ראוי
לכך 0.03178
לאכילה 0.01639
לקבל 0.01317
שיהיה 0.01078
לזה 0.00895

אנשי חיל
יראי 0.03994
האוויר 0.03168
ידיהם 0.02743
הים 0.01232
ההנדסה 0.00702

רק דרך
אגב 0.05922
משל 0.01136
כלל 0.01085
מקרה 0.00562
אהת 0.0055

בית רבן
גמליאל 0.0862
יודעים 0.02296
יודעין 0.01394
שלא 0.01261
אפילו 0.01173

סימן טוב
ומזל 0.01946
לישראל 0.01689
לאדם 0.01493
סימן 0.00661
לבאות 0.00656

אני יוצא
בתוך 0.05203
מתוך 0.01694
לדרך 0.01628
החוצה 0.01612
מכאן 0.01469

ידי ועדת
הבחירות 0.0406
השרים 0.0299
הכנסת 0.02884
התרבות 0.02829
הכספים 0.02801

קיים מצות
פריה 0.10087
עשה 0.06298
מילה 0.04643
כיבוד 0.0326
סוכה 0.01707

אני יושב
כאן 0.0452
ליד 0.01944
בבית 0.01924
וכותב 0.01442
פה 0.01437

וכמו שאמר
הכתוב 0.10456
דוד 0.0338
הנביא 0.01825
רבי 0.01645
שלמה 0.01425

שצריך האדם
לעשות 0.03213
לעבוד 0.01498
לשמור 0.01405
לידע 0.0128
להתנהג 0.01069

בן בקר
לחטאת 0.09936
תקח 0.03527
תמים 0.02689
בן 0.01464
ואילים 0.01368

הארץ בפני
היהודים 0.04062
עליה 0.03479
יהודים 0.03279
פליטי 0.0323
עולים 0.02804

אנחנו עושים
פה 0.05505
כאן 0.02458
היום 0.01431
הכל 0.01097
עכשיו 0.01059

קם ממקומו
ואמר 0.01569
וניגש 0.01383
ויצא 0.00988
והחל 0.00894
והלך 0.00697

עוד במאה
הי 0.09408
הקודמת 0.04498
התשע 0.04326
השש 0.02551
הרביעית 0.02429

בשנים האחרונות
לפני 0.00882
שלפני 0.00807
לחייו 0.00755
— 0.00481
אנו 0.00431

אלו אפשר
למצוא 0.04861
לראות 0.0342
לומר 0.03036
להוסיף 0.02999
ללמוד 0.02531

אלא בדבר
הסמוי 0.08608
שיש 0.06687
שהוא 0.05466
שאין 0.03971
שאינו 0.02267

ניתן לראות
גם 0.02114
בכך 0.01445
בבירור 0.01171
כיצד 0.01162
כאן 0.00824

רמת החיים
הגבוהה 0.01583
שלהם 0.00905
הנמוכה 0.00825
הכללית 0.00819
עלתה 0.00758

ביד חזקה
ובזרוע 0.10906
ישלחם 0.0197
הוציאך 0.00826
שתים 0.00717
נגד 0.00492

אלא בדרך
כלל 0.07378
נס 0.01512
אחרת 0.0141
הטבע 0.01204
אגב 0.00982

עוד בזמן
קדום 0.05533
המלחמה 0.0371
ההוא 0.0294
שבית 0.01768
מאוחר 0.01646

האדם צריך
לעשות 0.03195
לדעת 0.0179
לעבוד 0.01733
ללמוד 0.01227
שיהיה 0.01225

שפיכות דמים
וגילוי 0.00733
ועבודה 0.00446
ממש 0.0036
ולשון 0.00347
בית 0.00307

בראשית התקופה
ההלניסטית 0.06348
העות 0.05059
הרומית 0.02576
הערבית 0.02284
הפרסית 0.01743

התקופה שבה
אנו 0.04652
חי 0.02314
עוסק 0.01077
נכתבו 0.00936
נכתב 0.00869

רק דוגמאות
אחדות 0.18282
מעטות 0.10271
בודדות 0.04932
ספורות 0.04036
מספר 0.03506

כדי לקיים
מצות 0.08582
מצוות 0.03666
מצוה 0.01692
המצוה 0.01501
קשר 0.00625

ממה שאמרו
בפרק 0.04088
בגמרא 0.0242
במסכת 0.01876
רבותינו 0.01628
בירושלמי 0.01567

מתוך כך
גם 0.01246
אנו 0.00883
אפשר 0.00747
לידי 0.00741
ניתן 0.00651

כאלה הם
גם 0.02205
החיים 0.0208
למשל 0.01199
חיי 0.00527
נדירים 0.00509

צפון אפריקה
וספרד 0.00741
והמזרח 0.00732
ואסיה 0.00577
וארצות 0.00436
— 0.00401

שלא שייך
לומר 0.07292
כאן 0.03056
כלל 0.02438
הטעם 0.00804
אצלו 0.00789

יצחק בן
אברהם 0.08458
צבי 0.05787
שלמה 0.02105
יעקב 0.01814
יהודה 0.01802

יצחק בר
יוסף 0.08064
שמואל 0.07476
אבדימי 0.03699
ששת 0.03695
יהודה 0.0348

יכול להסביר
מדוע 0.03398
לך 0.03216
לעצמי 0.0178
כיצד 0.01283
גם 0.01242

ספר המצוות
לרמב 0.01923
להרמב 0.01642
עשה 0.00942
שלו 0.00938
לענן 0.00861

אלהים חיים
ומלך 0.0464
הם 0.01686
מדבר 0.01498
מפי 0.00731
והלכה 0.00344

שבינו לבין
עצמו 0.05023
חבירו 0.02374
המקום 0.02213
קונו 0.02184
חברו 0.01551

התורה כולה
שמותיו 0.01019
כשאני 0.00663
ואידך 0.00493
— 0.00311
שנאמר 0.00263

רוב חכמי
ההלכה 0.08328
הדור 0.06963
דורו 0.03122
התלמוד 0.02975
התורה 0.02277

המאה העשרים
ואחת 0.01831
ועד 0.00562
— 0.00548
החלו 0.00229
הייתה 0.00224

ואני בטוח
שלא 0.02924
שגם 0.02682
שהוא 0.02478
שהיא 0.01444
שאם 0.01427

אינו נאמן
לומר 0.06939
אלא 0.01729
משום 0.00858
כלל 0.00818
לטעון 0.00808

עוד ביום
הראשון 0.12401
ההוא 0.10911
השני 0.02386
ראשון 0.02221
שישי 0.02171

בעד החלון
הפתוח 0.04691
החוצה 0.02368
נשקפה 0.01725
וירא 0.01109
ותרא 0.00727

שהוא רואה
עצמו 0.01979
ושומע 0.00847
בעיניו 0.00828
לפניו 0.0074
אותי 0.00663

ביום השלישי
וביום 0.02521
בהיות 0.0249
יקימנו 0.01739
בהיותם 0.01615
ירד 0.01369

לב רבה
הוקדשה 0.01417
מדי 0.01075
ביותר 0.01024
מצד 0.00984
מאוד 0.00807

עוד בטרם
הספיק 0.01635
הגיע 0.0127
החל 0.01072
הגיעו 0.01065
החלה 0.00879

יראת שמים
בלבד 0.01386
דבריו 0.0123
ויראת 0.01043
טהורה 0.0077
דומה 0.00598

נמנו וגמרו
נוח 0.04322
ביניהם 0.01367
טוב 0.01336
שלא 0.01225
בעליית 0.01176

בלי רשות
בעלה 0.01008
הבעלים 0.00952
בית 0.00851
מיוחדת 0.00831
המלך 0.00761

בן ארבעים
שנה 0.24146
וחמש 0.04041
לבינה 0.03876
יום 0.03873
ושמונה 0.0356

רק בתחום
הכלכלי 0.02756
הפוליטי 0.01656
החינוך 0.01499
המדיני 0.01348
הדת 0.00956

נסמכה פרשת
נזיר 0.08226
מרגלים 0.0502
המנורה 0.04161
אבשלום 0.0321
עריות 0.03031

שתי המפלגות
הגדולות 0.11462
האלה 0.01585
הללו 0.01582
הציוניות 0.01428
הסוציאליסטיות 0.01273

בבית הספר
התיכון 0.03588
היסודי 0.03028
העברי 0.01395
היהודי 0.0138
העממי 0.01378

הייתי בטוחה
שהוא 0.04819
שאני 0.03862
שזה 0.03107
שהיא 0.02603
שלא 0.01736

ירא שמים
בסתר 0.02288
באמת 0.01074
מרבים 0.00869
ובעל 0.00696
יצא 0.00591

ציבור הפועלים
בארץ 0.07549
המאורגן 0.01969
היהודי 0.0155
היהודים 0.01293
כולו 0.01101

ייתכן גם
ייתכן 0.03211
שלא 0.01301
שהוא 0.01169
מצב 0.00603
שיש 0.00569

רק חצי
שעה 0.0602
שנה 0.05917
נזק 0.03743
יום 0.03198
שיעור 0.02591

כר נרחב
לפעולה 0.07243
לעבודה 0.03468
לפעילות 0.0208
לפעולות 0.01089
להתגדר 0.01031

משה חיים
לוצאטו 0.09981
אפרים 0.0533
שפירא 0.05101
לאו 0.02563
לוצטו 0.01297

אתם אפילו
שוגגין 0.10612
שוגגים 0.08988
מזידין 0.08988
מוטעין 0.07793
מוטעים 0.05001

ששים רבוא
אותיות 0.05946
נשמות 0.03147
מישראל 0.02294
עיירות 0.01476
בוקעין 0.01387

לומר שלא
יהיה 0.01916
ידע 0.0086
רק 0.00798
יהיו 0.0076
יהא 0.00758

עוד בימי
קדם 0.03856
נעוריו 0.02978
חייו 0.02816
הביניים 0.02282
בית 0.02076

רק חמש
שנים 0.15546
מאות 0.08754
דקות 0.07248
עשרה 0.04185
שעות 0.02862

לומר שיש
כאן 0.07573
הבדל 0.01299
חילוק 0.01141
עוד 0.0071
איסור 0.00615

שימש גם
בית 0.01264
כבית 0.01118
בתפקיד 0.01048
כמקום 0.00963
מורה 0.0084

אלא בזמן
שהיובל 0.07651
שישראל 0.07249
שיש 0.03527
שהוא 0.03271
שבית 0.03097

לשתף פעולה
עמו 0.00699
עמם 0.00552
גם 0.00509
כדי 0.0048
ביניהם 0.00461

עוד ביתר
שאת 0.31697
עוז 0.05464
תוקף 0.04726
בהירות 0.03718
עז 0.03259

ידי קיום
המצוות 0.13101
מצוות 0.09554
התורה 0.06561
מצות 0.0434
המצוה 0.02739

בחיי החברה
היהודית 0.03313
הישראלית 0.0245
והתרבות 0.02358
והכלכלה 0.02202
והמדינה 0.0196

שהוא חושב
שהוא 0.02977
שזה 0.01268
שאני 0.01093
שיש 0.01
שהיא 0.00944

לאחד מבני
המשפחה 0.05092
החבורה 0.04572
חבורה 0.03547
הזוג 0.02927
משפחת 0.02841

שמואל הקטן
אומר 0.04301
נטל 0.01912
ואמר 0.01788
ותקנה 0.01621
גזר 0.01583

הבעיה היהודית
בפולין 0.00881
בארץ 0.00682
באירופה 0.00588
בברית 0.00576
— 0.00543

ששה דברים
נאמרו 0.07851
עשו 0.03243
עשה 0.03112
מקולי 0.02284
קדמו 0.02253

אנשי בית
שמש 0.05444
הכנסת 0.03721
אב 0.03601
המדרש 0.03387
שאן 0.02964

רק לעתים
רחוקות 0.57256
נדירות 0.11163
רהוקות 0.02137
רתוקות 0.0126
דחוקות 0.01155

שהוא חולה
מסוכן 0.02503
אנוש 0.01971
מאוד 0.01514
במחלה 0.01221
מאד 0.01172

בעקבות מלחמת
ששת 0.22368
העולם 0.16267
יום 0.12928
העצמאות 0.03883
לבנון 0.03146

שש שעות
ביום 0.03105
רצופות 0.02316
ומחצה 0.00933
לפני 0.00743
בלבד 0.00682

כלפי מעלה
ואמר 0.00996
ומשעבדין 0.00703
וכלפי 0.00502
ומטה 0.00434
— 0.00411

שאמר דוד
המלך 0.23441
ע 0.03109
בספר 0.01814
המע 0.0105
מלך 0.00813

זהו רק
משום 0.01619
לענין 0.01558
מפני 0.01033
צד 0.01006
לגבי 0.00933

בית ספר
תיכון 0.03745
עברי 0.02458
יסודי 0.02287
יהודי 0.02194
עממי 0.01739

לרגלי הר
סיני 0.10682
הכרמל 0.05549
הזיתים 0.05297
ציון 0.03256
תבור 0.03141

זהו גם
ההסבר 0.01492
סוד 0.00935
המקום 0.00906
מקור 0.00818
סיפור 0.00815

ואני אומר
לך 0.06055
לכם 0.04376
שאין 0.01805
שלא 0.01012
לעצמי 0.00777

קטע מתוך
ספר 0.02933
מכתב 0.0265
ספרו 0.01709
הספר 0.01491
מאמר 0.01296

הטיל ספק
בכך 0.05828
בדבר 0.02686
באפשרות 0.02552
ביכולתו 0.01544
בעצם 0.01081

שתי תופעות
אלו 0.05385
שונות 0.02881
בולטות 0.01668
חשובות 0.0139
מעניינות 0.01367

בלי להתחשב
בכך 0.02931
כלל 0.02498
בעובדה 0.01852
בתוצאות 0.01687
בשום 0.01136

רק בשנות
השלושים 0.11125
השמונים 0.07925
השבעים 0.07524
החמישים 0.06984
העשרים 0.06817

בלבד אלא
גם 0.16366
אפילו 0.02036
שגם 0.01093
שהוא 0.01019
נם 0.00529

ארבעה דברים
נגאלו 0.02345
אלו 0.02315
נאמרו 0.01745
נכסי 0.0115
פטרו 0.01109

אלפים שנה
קודם 0.01678
ויותר 0.01274
לפני 0.01186
הוי 0.01122
קדמה 0.00651

מצב רוח
טוב 0.10237
מרומם 0.05081
רע 0.03527
קשה 0.0126
מיוחד 0.0086

רק בשנים
האחרונות 0.43537
הראשונות 0.03448
שלאחר 0.02007
מאוחרות 0.01912
הבאות 0.0185

לבתי הספר
התיכוניים 0.03417
היסודיים 0.02135
היהודיים 0.01972
הכלליים 0.01579
הממלכתיים 0.01528

רק שאין
אנו 0.02445
כאן 0.02082
צורך 0.00994
הם 0.0095
איסור 0.00844

שש שנים
יעבוד 0.02465
לאחר 0.02242
לפני 0.01382
תזרע 0.01328
קודם 0.01219

לזה אמר
הכתוב 0.02182
רבי 0.01012
שהוא 0.00678
כאן 0.00512
שלא 0.00508

הייתי מוכן
ומזומן 0.02965
לוותר 0.02831
לקבל 0.02768
לעשות 0.02432
לכך 0.02168

והכי נמי
אמרינן 0.04061
משמע 0.02734
כיון 0.01609
גבי 0.01605
מוכח 0.01265

שיצאו מתחת
ידו 0.24415
ידי 0.12014
ידיו 0.05472
עטו 0.05164
ידיהם 0.034

ואולי גם
משום 0.00575
כאן 0.00484
מתוך 0.00477
אני 0.00428
כדי 0.00427

אינו נופל
אלא 0.04751
תחת 0.03285
בחשיבותו 0.02045
רק 0.01854
ברוחו 0.01097

באופן שאינו
משתמע 0.09126
יכול 0.06085
ניתן 0.02288
ראוי 0.01841
ניכר 0.01813

הדימוי העצמי
שלו 0.04603
שלהם 0.02873
שלה 0.01532
הנמוך 0.01459
שלנו 0.01457

לעלות ארצה
בשנת 0.00764
לפני 0.00653
ולהצטרף 0.00413
ולהתיישב 0.00381
כדי 0.00357

אינו נושא
פנים 0.06319
באחריות 0.03052
כפיו 0.02459
תאריך 0.02136
אשה 0.02064

מילא תפקידים
שונים 0.15165
מרכזיים 0.09349
חשובים 0.08255
בכירים 0.0761
רבים 0.05033

פרץ בצחוק
רם 0.03923
אדיר 0.03232
ואמר 0.03128
קולני 0.01773
רועם 0.01604

הרב יוסף
חיים 0.07626
קאפח 0.03676
בן 0.02356
צבי 0.01335
קארו 0.01235

הנהלת בית
הספר 0.15524
החולים 0.05266
הכנסת 0.03728
הסוהר 0.02162
המדרש 0.01802

מעיקר הדין
אלא 0.01516
מותר 0.01103
גם 0.00743
אינו 0.00521
רק 0.00505

אינו נותן
דעתו 0.0368
אלא 0.03005
טעם 0.01816
לך 0.01167
שום 0.00914

הגיעה לשיאה
כאשר 0.02401
בשנת 0.02091
בימי 0.02
בשנות 0.01268
לאחר 0.01164

מצב שבו
האדם 0.0125
יהיה 0.00845
הם 0.00712
אנו 0.00688
ניתן 0.00433

אינו נוהג
אלא 0.17743
כך 0.02144
בזמן 0.01956
כשורה 0.01734
רק 0.0138

בציבור היהודי
בארץ 0.01811
בפולין 0.00833
ברוסיה 0.00654
בישראל 0.00635
הרחב 0.00607

אינו נובע
רק 0.06948
מתוך 0.04531
מכך 0.03259
אלא 0.0196
בהכרח 0.01389

אינו נוגע
כלל 0.0471
רק 0.02208
בדבר 0.02104
אלא 0.01204
בעדות 0.01097

אינו נוטל
אלא 0.08658
שכר 0.03604
כלום 0.03421
בראוי 0.03
לעצמו 0.01213

סוף שנות
העשרים 0.10614
השלושים 0.09251
השמונים 0.08635
השבעים 0.08289
החמישים 0.07769

יהיה מוכן
לקבל 0.04068
ומזומן 0.02056
לעשות 0.01829
לוותר 0.01501
לתת 0.0129

ראש הוועד
הפועל 0.16615
הלאומי 0.0806
המרכזי 0.05439
המנהל 0.0292
היהודי 0.02846

ספר תיכוניים
וגבוהים 0.02461
עיוניים 0.01714
יהודיים 0.01591
עבריים 0.01133
ומקצועיים 0.00978

שניתן יהיה
להגיע 0.01491
להשתמש 0.01255
להשיג 0.01082
לראות 0.00975
לקיים 0.00777

לבוא אליו
בטענות 0.02554
כדי 0.00673
הביתה 0.00577
מיד 0.00565
למחרת 0.00548

והיינו דאמר
רבי 0.18411
קרא 0.03988
רבא 0.03938
ליה 0.03702
ריש 0.03662

אלו בעלי
משנה 0.11396
מקרא 0.07026
תשובה 0.06841
תלמוד 0.0647
בתים 0.06327

סימני ההיכר
שלה 0.03303
הבולטים 0.0271
שלו 0.0265
המובהקים 0.02624
החיצוניים 0.02114

בדרך אחרת
לגמרי 0.01585
מאשר 0.00764
— 0.00642
מזו 0.0061
אלא 0.00316

השכל האנושי
אינו 0.00905
יכול 0.00897
להשיג 0.00715
בשכל 0.00545
המוגבל 0.00453

לבין העולם
הערבי 0.04908
החיצוני 0.03157
החיצון 0.02363
הסובב 0.01846
כולו 0.0145

שפה משותפת
ביניהם 0.00968
אתם 0.00912
בינינו 0.00715
גם 0.00581
והבנה 0.00522

ניתן איפוא
לומר 0.14222
לסכם 0.05376
לראות 0.05085
לקבוע 0.04399
לשער 0.02809

שהיו נהוגים
אצל 0.02601
בימי 0.02403
בבתי 0.01866
בארץ 0.01861
בעבר 0.01673

אנו חוזרים
ואומרים 0.03034
ומדגישים 0.01841
שוב 0.01735
הביתה 0.01575
ומוצאים 0.01417

הזמנים ובכל
המקומות 0.19626
הדורות 0.08464
הארצות 0.06881
התנאים 0.05252
התקופות 0.0499

דעות שונות
לגבי 0.01243
ומנוגדות 0.01187
ביחס 0.01017
בענין 0.00975
באשר 0.00735

כדי לקנות
לחם 0.01321
לעצמו 0.00934
מזון 0.00927
אוכל 0.00896
סחורה 0.00836

שהוא חייב
מיתה 0.02837
לשלם 0.01866
לעשות 0.01058
משום 0.00792
להתאבל 0.00639

אינו נזכר
כלל 0.09222
בשום 0.0249
במפורש 0.02384
כאן 0.02187
עוד 0.01696

בן שתי
קומות 0.34489
שנים 0.13749
הקומות 0.05943
אותיות 0.03202
מלים 0.02433

אינו נחשב
לכלום 0.03413
כלל 0.01776
בעיניו 0.01546
עוד 0.01195
בעיני 0.01131

בשעה ארבע
לפנות 0.10822
וחצי 0.04294
בבוקר 0.04113
ושלושים 0.01659
בדיוק 0.01574

מבחינה לאומית
ודתית 0.00973
— 0.00969
והן 0.00913
וחברתית 0.0088
וסוציאלית 0.008

מספיק כדי
שלא 0.02151
לדעת 0.01482
להבין 0.01417
למנוע 0.01239
לקבוע 0.01108

וכך גם
לגבי 0.01568
אני 0.00823
כאן 0.00673
אצל 0.00626
ביחס 0.00388

בן שלש
עשרה 0.32412
שנים 0.16561
מאות 0.02858
קומות 0.02167
אותיות 0.01789

בהתאם לסעיף
2 0.06386
4 0.03421
3 0.03079
5 0.02454
6 0.02077

לתת ביטוי
גם 0.01387
הולם 0.01345
מוחשי 0.01032
לרגשות 0.00849
פומבי 0.0084

מצוות עשה
שהזמן 0.06845
ומצוות 0.02528
שבתורה 0.00842
שלא 0.0067
דאורייתא 0.00426

בן שטח
אומר 0.01122
והחזיר 0.00879
תלה 0.0077
ויהודה 0.00668
תיקן 0.00646

בתי חרושת
גדולים 0.02603
ובתי 0.02261
המעשה 0.01748
קטנים 0.01214
שונים 0.01099

וכך הם
גם 0.02977
דבריו 0.02795
עושים 0.01531
אומרים 0.01172
כותבים 0.00924

אלא שצריך
להבין 0.0182
עיון 0.01749
לומר 0.01734
להוסיף 0.01574
לברכו 0.01514

ואני איני
יכול 0.0787
רוצה 0.05076
רואה 0.03661
אלא 0.02554
מבין 0.02243

בן שבע
עשרה 0.19183
שנים 0.09246
מאות 0.0088
שעות 0.00719
וחצי 0.00681

איני יכולה
לקבל 0.03354
עוד 0.02473
שלא 0.02024
לעשות 0.01752
לומר 0.0166

רק אני
לבדי 0.04913
הייתי 0.01479
אומר 0.01179
נשארתי 0.01123
רוצה 0.0111

רק אצל
היהודים 0.02445
האדם 0.01324
אנשים 0.01041
יהודים 0.00911
בעלי 0.00857

וזו אינה
אלא 0.06227
צריכה 0.04851
נאה 0.03842
יכולה 0.02877
קושיא 0.02144

אני יכול
לעשות 0.05624
לומר 0.04572
להגיד 0.02481
להבין 0.01802
לראות 0.01704

בתי הכנסת
ובתי 0.01856
העתיקים 0.01317
בישראל 0.01256
בעיר 0.00986
שלהם 0.0088

חכמי התלמוד
הבבלי 0.01104
והמדרש 0.0109
והמדרשים 0.00442
והגאונים 0.00432
עצמם 0.0039

אפשר להסיק
מסקנות 0.04365
מכך 0.03536
מכאן 0.02984
מסקנה 0.01806
גם 0.01166

תקופה קצרה
יחסית 0.02811
בלבד 0.02361
לאחר 0.02269
ביותר 0.02174
מאוד 0.01418

חג השבועות
ביום 0.00712
שנת 0.0052
שהוא 0.00471
זמן 0.00401
— 0.00395

מלכות הרשעה
שלא 0.03609
שמד 0.02505
גזירה 0.01709
גזרה 0.01422
אצל 0.01152

כיצד הם
יכולים 0.01875
חיים 0.01633
פועלים 0.01351
עושים 0.01205
נראים 0.00917

העובדה שהוא
עצמו 0.01969
אינו 0.01374
חי 0.00724
נמצא 0.00716
איננו 0.00583

במקרים רבים
אחרים 0.02299
גם 0.00904
מאוד 0.00857
הם 0.0079
אפשר 0.00394

עוד בסוף
המאה 0.23571
שנות 0.09741
שנת 0.05757
ימי 0.04652
ימיו 0.01834

בן רבי
יצחק 0.04872
אברהם 0.04458
משה 0.03999
חיים 0.03979
שמעון 0.03956

מהו דתימא
הואיל 0.05464
כיון 0.0545
התם 0.04362
האי 0.02738
הני 0.02661

רוב חברי
הכנסת 0.05696
